cell_type,n_cells,donor_breakdown
unassigned,1361,1:585;4:397;0:242;2:86;3:51
MSC_stromal,122,1:100;0:10;4:8;2:2;3:2
immune,118,3:37;2:27;4:24;1:17;0:13
pericyte_mural,66,1:57;4:9
osteo_lineage,52,1:45;4:5;2:1;3:1
endothelial,47,1:19;4:16;3:5;0:4;2:3
