set,targets,network_distance,z_score,empirical_p,random_mean,random_sd,n_targets_in_network,source
core_combo,58,1.9230769230769231,4.245539812996508,1.0,1.4682885728340356,0.10712144280232229,58,ChEMBL(single-protein)+OpenTargets(score>=0.10)+STRING-physical
杜仲,4,1.25,-0.45932957506517624,0.5204795204795205,1.4516666666666664,0.439045682259957,4,ChEMBL(single-protein)+OpenTargets+STRING-physical
牛膝,13,1.5454545454545454,0.09262434619093751,0.6173826173826173,1.5209096736596734,0.2649937387333858,13,ChEMBL(single-protein)+OpenTargets+STRING-physical
续断,0,,,,,,0,ChEMBL(single-protein)+OpenTargets+STRING-physical
骨碎补,44,2.025,4.72278859498712,1.0,1.4444310044842659,0.12292927871723155,44,ChEMBL(single-protein)+OpenTargets+STRING-physical
