gene
ABCF2
ABO
ABR
AC004052.1
AC004053.1
AC004593.3
AC005736.1
AC007368.1
AC007569.1
AC011586.2
AC015687.1
AC022414.1
AC058822.1
AC090502.1
AC091078.1
AC092598.1
AC100849.1
AC116049.2
AC117386.2
AC128685.1
AC241584.2
AC242426.2
AC244230.2
AC245519.1
ACHE
ACKR3
ACP4
ACSF2
ACTL7B
ACTR2
ACTRT2
ACYP2
ADAM12
ADAMTS14
ADAMTS18
ADAMTS6
ADAMTSL1
ADCY5
ADCY9
ADGRD1
ADH1B
ADPRHL1
AFF1
AFF3
AGAP2
AGMO
AHCY
AHNAK
AIF1
AKAP12
AL050338.1
AL353807.3
AL355312.5
AL365259.1
AL513323.1
ALDH7A1
ALPL
ALX1
AMZ1
ANAPC1
ANAPC4
ANK3
ANKFN1
ANKRD31
ANKRD7
ANXA13
AP001372.1
AP1B1
APC
APOLD1
AQP1
ARF3
ARHGAP1
ARHGAP15
ARHGAP18
ARHGAP24
ARHGAP25
ARHGAP26
ARHGEF11
ARID1A
ARID1B
ARID5B
ARL14EP
ARMC4
ARPC3
ARRDC2
ARSB
ASRGL1
ASTN2
ASXL2
ATAD1
ATE1-AS1
ATF7
ATG7
ATP13A5
ATXN10
ATXN7L1
AURKAIP1
AXIN1
AXIN2
AXL
B4GALNT3
BAD
BAHCC1
BANF2
BARX1
BARX1-AS1
BAZ1A
BBOX1-AS1
BCAS3
BCL11A
BCL2
BCL2L11
BICC1
BIN3
BMP2
BMP4
BMP5
BMPR1B
BNC2
BRD1
BTBD16
BUD13
C10ORF11
C10ORF126
C10ORF67
C11ORF58
C11ORF63
C12ORF23
C12ORF66
C14ORF39
C16ORF38
C17ORF53
C17ORF82
C18ORF19
C1ORF140
C20ORF196
C22ORF34
C2CD2L
C2ORF73
C2ORF91
C6ORF97
C7ORF50
C7ORF61
C7ORF76
C8ORF37-AS1
C9ORF64
CAB39L
CABLES1
CACNA1C
CADM1
CALCRL
CAMSAP2
CAPZA2
CAPZB
CARMN
CASC15
CASC17
CASC20
CATSPER3
CCDC162P
CCDC170
CCDC26
CCDC34
CCDC6
CCDC91
CCND2-AS1
CCR1
CCR3
CD109
CD68
CD70
CDC5L
CDH6
CDK15
CDK2AP1
CDK6
CDKAL1
CELSR1
CELSR2
CEP135
CES3
CGB7
CHD1L
CHD4
CLDN14
CLIC4
CLIC5
CLMP
CLYBL
CMIP
CNOT4
CNTLN
CNTN4
CNTN5
COL11A1
COL1A1
COL1A2
COL21A1
COL24A1
COL6A3
COLEC10
CORO1C
CORO6
CORO7-PAM16
COTL1
COX4I2
CPEB4
CPED1
CPLX1
CPN1
CRADD
CRB1
CREB5
CREBBP
CRHR1-IT1-CRHR1
CRIPAK
CRTC3
CSNK1G3
CSRNP3
CTLA4
CTNNA2
CTNNB1
CTPS1
CTSZ
CTTNBP2NL
CXXC4
CXXC4-AS1
CYB5B
CYBRD1
CYFIP1
CYLD
CYP19A1
CYP26A1
CYP26B1
CYP3A7-CYP3A51P
DAAM2
DAB2
DCAKD
DCDC5
DCN
DDN
DENND1A
DEPTOR
DGKB
DGKG
DHRS12
DICER1
DIRC3
DIRC3-AS1
DISP1
DKK2
DLC1
DLEU1
DLEU2
DLG1
DLX5
DLX6-AS1
DMP1
DNAH14
DNM3
DNMT3A
DOCK5
DOCK8
DOCK9
DOK6
DOT1L
DPP8
DPYD
DRAIC
DST
DUSP23
DUSP5
DYNC1I1
E2F1
EBF1
EEF2K
EGFEM1P
EHD4
EIF3E
EML6
EMP1
EMP2
EN1
ENDOD1
ENPP6
EPB41L2
EPDR1
EPHA4
EPHA6
EPS8L3
EPSTI1
ERC2
ERG
ERLIN1
ERO1A
ESPL1
ESR1
ETFA
EVX1
EXOC3L2
EXOSC10
EYA1
EYA2
EYA4
FABP6
FADS2
FAM110D
FAM111A
FAM118A
FAM129B
FAM133B
FAM168A
FAM169B
FAM172BP
FAM174A
FAM175B
FAM19A1
FAM210A
FAM213A
FAM227A
FAM234A
FAM3C
FAM46A
FAM65A
FAM9B
FAR2
FARP1
FAT1
FAT3
FBLIM1
FBLN5
FBN2
FBXL2
FBXO40
FBXW4
FBXW5
FCHO2
FERD3L
FGF14
FGFRL1
FHOD3
FILNC1
FJX1
FKBP9
FLCN
FLI1
FLJ42280
FMN2
FMNL2
FONG
FOSB
FOXC1
FOXK1
FOXK2
FOXL1
FOXN3
FOXO1
FOXQ1
FRMD7
FRS2
FRZB
FSTL5
