source,source_type,target,target_type,relation
CDC25B,target,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,pathway,participates_in
CDC25B,target,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,pathway,participates_in
CES1,target,Metallothioneins bind metals,pathway,participates_in
CES1,target,Interferon gamma signaling,pathway,participates_in
CSNK2B,target,Synthesis of PC,pathway,participates_in
CSNK2B,target,WNT mediated activation of DVL,pathway,participates_in
CSNK2B,target,Condensation of Prometaphase Chromosomes,pathway,participates_in
CSNK2B,target,Signal transduction by L1,pathway,participates_in
CSNK2B,target,Neutrophil degranulation,pathway,participates_in
CSNK2B,target,Regulation of TP53 Activity through Phosphorylation,pathway,participates_in
CSNK2B,target,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,pathway,participates_in
CSNK2B,target,Receptor Mediated Mitophagy,pathway,participates_in
CYP1A1,target,PPARA activates gene expression,pathway,participates_in
CYP1A1,target,Xenobiotics,pathway,participates_in
CYP1A1,target,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),pathway,participates_in
CYP1A1,target,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),pathway,participates_in
CYP1A1,target,Biosynthesis of protectins,pathway,participates_in
CYP1A2,target,Methylation,pathway,participates_in
CYP1A2,target,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,pathway,participates_in
CYP1A2,target,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),pathway,participates_in
CYP1A2,target,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),pathway,participates_in
CYP1A2,target,Aflatoxin activation and detoxification,pathway,participates_in
CYP1A2,target,Biosynthesis of protectins,pathway,participates_in
CYP1A2,target,Biosynthesis of maresin-like SPMs,pathway,participates_in
CYP1B1,target,Endogenous sterols,pathway,participates_in
CYP1B1,target,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),pathway,participates_in
CYP1B1,target,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),pathway,participates_in
CYP1B1,target,Defective CYP1B1 causes Glaucoma,pathway,participates_in
CYP2C19,target,Xenobiotics,pathway,participates_in
CYP2C19,target,CYP2E1 reactions,pathway,participates_in
CYP2C19,target,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),pathway,participates_in
CYP2C19,target,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),pathway,participates_in
CYP2C19,target,Aspirin ADME,pathway,participates_in
CYP2C9,target,Xenobiotics,pathway,participates_in
CYP2C9,target,CYP2E1 reactions,pathway,participates_in
CYP2C9,target,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),pathway,participates_in
CYP2C9,target,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),pathway,participates_in
CYP2C9,target,Biosynthesis of maresin-like SPMs,pathway,participates_in
CYP2C9,target,Aspirin ADME,pathway,participates_in
CYP2D6,target,Fatty acids,pathway,participates_in
CYP2D6,target,Miscellaneous substrates,pathway,participates_in
CYP2D6,target,Xenobiotics,pathway,participates_in
CYP2D6,target,CYP2E1 reactions,pathway,participates_in
CYP2D6,target,Biosynthesis of maresin-like SPMs,pathway,participates_in
CYP2D6,target,Aspirin ADME,pathway,participates_in
CYP3A4,target,Phase I - Functionalization of compounds,pathway,participates_in
CYP3A4,target,Xenobiotics,pathway,participates_in
CYP3A4,target,Aflatoxin activation and detoxification,pathway,participates_in
CYP3A4,target,Biosynthesis of maresin-like SPMs,pathway,participates_in
CYP3A4,target,Aspirin ADME,pathway,participates_in
CYP3A4,target,Atorvastatin ADME,pathway,participates_in
CYP3A4,target,Prednisone ADME,pathway,participates_in
DAPK1,target,Caspase activation via Dependence Receptors in the absence of ligand,pathway,participates_in
DPP4,target,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",pathway,participates_in
DPP4,target,"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",pathway,participates_in
DUSP3,target,ERKs are inactivated,pathway,participates_in
ESRRA,target,PPARA activates gene expression,pathway,participates_in
ESRRA,target,Transcriptional activation of mitochondrial biogenesis,pathway,participates_in
ESRRA,target,Nuclear Receptor transcription pathway,pathway,participates_in
ESRRA,target,Regulation of RUNX2 expression and activity,pathway,participates_in
F3,target,NGF-stimulated transcription,pathway,participates_in
F3,target,Initiation of coagulation cascade,pathway,participates_in
F3,target,Regulation of clotting cascade,pathway,participates_in
FLT3,target,PI3K Cascade,pathway,participates_in
FLT3,target,PIP3 activates AKT signaling,pathway,participates_in
FLT3,target,Constitutive Signaling by Aberrant PI3K in Cancer,pathway,participates_in
FLT3,target,RAF/MAP kinase cascade,pathway,participates_in
FLT3,target,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",pathway,participates_in
FLT3,target,FLT3 Signaling,pathway,participates_in
FLT3,target,STAT5 Activation,pathway,participates_in
FLT3,target,FLT3 mutants bind TKIs,pathway,participates_in
FTO,target,Reversal of alkylation damage by DNA dioxygenases,pathway,participates_in
FUNDC1,target,Receptor Mediated Mitophagy,pathway,participates_in
GPBAR1,target,Class A/1 (Rhodopsin-like receptors),pathway,participates_in
GPBAR1,target,G alpha (s) signalling events,pathway,participates_in
GSK3A,target,AKT phosphorylates targets in the cytosol,pathway,participates_in
GSK3A,target,XBP1(S) activates chaperone genes,pathway,participates_in
GSK3A,target,Constitutive Signaling by AKT1 E17K in Cancer,pathway,participates_in
GSK3A,target,Suppression of apoptosis,pathway,participates_in
GSK3A,target,Maturation of nucleoprotein,pathway,participates_in
GSK3A,target,Maturation of nucleoprotein,pathway,participates_in
HDAC1,target,Transcription of E2F targets under negative control by DREAM complex,pathway,participates_in
HDAC1,target,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,pathway,participates_in
HDAC1,target,G0 and Early G1,pathway,participates_in
HDAC1,target,p75NTR negatively regulates cell cycle via SC1,pathway,participates_in
HDAC1,target,Formation of the beta-catenin:TCF transactivating complex,pathway,participates_in
HDAC1,target,NOTCH1 Intracellular Domain Regulates Transcription,pathway,participates_in
HDAC1,target,Downregulation of SMAD2/3:SMAD4 transcriptional activity,pathway,participates_in
HDAC1,target,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,pathway,participates_in
HDAC6,target,NOTCH1 Intracellular Domain Regulates Transcription,pathway,participates_in
HDAC6,target,Constitutive Signaling by NOTCH1 PEST Domain Mutants,pathway,participates_in
HDAC6,target,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,pathway,participates_in
HDAC6,target,HSF1 activation,pathway,participates_in
HDAC6,target,Notch-HLH transcription pathway,pathway,participates_in
HDAC6,target,Cargo trafficking to the periciliary membrane,pathway,participates_in
HDAC6,target,Transcriptional regulation by RUNX2,pathway,participates_in
HDAC6,target,RUNX2 regulates osteoblast differentiation,pathway,participates_in
HIF1A,target,Regulation of gene expression by Hypoxia-inducible Factor,pathway,participates_in
HIF1A,target,Cellular response to hypoxia,pathway,participates_in
HIF1A,target,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,pathway,participates_in
HIF1A,target,NOTCH1 Intracellular Domain Regulates Transcription,pathway,participates_in
HIF1A,target,Ub-specific processing proteases,pathway,participates_in
HIF1A,target,Interleukin-4 and Interleukin-13 signaling,pathway,participates_in
HIF1A,target,PTK6 Expression,pathway,participates_in
HIF1A,target,PTK6 promotes HIF1A stabilization,pathway,participates_in
HSD17B1,target,Estrogen biosynthesis,pathway,participates_in
HSD17B1,target,The canonical retinoid cycle in rods (twilight vision),pathway,participates_in
HSD17B2,target,Estrogen biosynthesis,pathway,participates_in
IP6K2,target,Synthesis of IPs in the nucleus,pathway,participates_in
IP6K2,target,Interferon alpha/beta signaling,pathway,participates_in
IPMK,target,Synthesis of IPs in the nucleus,pathway,participates_in
L3MBTL1,target,Regulation of TP53 Activity through Methylation,pathway,participates_in
LMNA,target,Meiotic synapsis,pathway,participates_in
LMNA,target,Nuclear Envelope Breakdown,pathway,participates_in
LMNA,target,Initiation of Nuclear Envelope (NE) Reformation,pathway,participates_in
LMNA,target,Breakdown of the nuclear lamina,pathway,participates_in
LMNA,target,XBP1(S) activates chaperone genes,pathway,participates_in
LMNA,target,Depolymerization of the Nuclear Lamina,pathway,participates_in
LMNA,target,Signaling by BRAF and RAF1 fusions,pathway,participates_in
LMNA,target,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,pathway,participates_in
MPO,target,Neutrophil degranulation,pathway,participates_in
MPO,target,Events associated with phagocytolytic activity of PMN cells,pathway,participates_in
NOX4,target,Detoxification of Reactive Oxygen Species,pathway,participates_in
NOX4,target,STAT5 activation downstream of FLT3 ITD mutants,pathway,participates_in
NOX4,target,Signaling by FLT3 fusion proteins,pathway,participates_in
PKM,target,Neutrophil degranulation,pathway,participates_in
PKM,target,Glycolysis,pathway,participates_in
PKM,target,Pyruvate metabolism,pathway,participates_in
PKM,target,Negative Regulation of CDH1 Gene Transcription,pathway,participates_in
PKM,target,Regulation of pyruvate metabolism,pathway,participates_in
PLA2G1B,target,Acyl chain remodelling of PC,pathway,participates_in
PLA2G1B,target,Acyl chain remodelling of PS,pathway,participates_in
PLA2G1B,target,Acyl chain remodelling of PE,pathway,participates_in
PLA2G1B,target,Acyl chain remodelling of PI,pathway,participates_in
PLA2G1B,target,Acyl chain remodelling of PG,pathway,participates_in
PLA2G1B,target,Synthesis of PA,pathway,participates_in
PLA2G1B,target,Developmental Lineage of Pancreatic Acinar Cells,pathway,participates_in
POLB,target,POLB-Dependent Long Patch Base Excision Repair,pathway,participates_in
POLB,target,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,pathway,participates_in
POLB,target,Resolution of AP sites via the single-nucleotide replacement pathway,pathway,participates_in
POLB,target,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,pathway,participates_in
POLB,target,PCNA-Dependent Long Patch Base Excision Repair,pathway,participates_in
POLB,target,Ub-specific processing proteases,pathway,participates_in
POLB,target,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,pathway,participates_in
PSMB2,target,Activation of NF-kappaB in B cells,pathway,participates_in
PSMB2,target,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,pathway,participates_in
PSMB2,target,ER-Phagosome pathway,pathway,participates_in
PSMB2,target,Cross-presentation of soluble exogenous antigens (endosomes),pathway,participates_in
PSMB2,target,Autodegradation of Cdh1 by Cdh1:APC/C,pathway,participates_in
PSMB2,target,SCF-beta-TrCP mediated degradation of Emi1,pathway,participates_in
PSMB2,target,APC/C:Cdc20 mediated degradation of Securin,pathway,participates_in
PSMB2,target,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,pathway,participates_in
PTPN1,target,Integrin signaling,pathway,participates_in
PTPN1,target,Negative regulation of MET activity,pathway,participates_in
PTPN1,target,Insulin receptor recycling,pathway,participates_in
PTPN1,target,Regulation of IFNG signaling,pathway,participates_in
PTPN1,target,PTK6 Down-Regulation,pathway,participates_in
PTPN1,target,MECP2 regulates neuronal receptors and channels,pathway,participates_in
PTPN1,target,Regulation of IFNA/IFNB signaling,pathway,participates_in
PTPN1,target,Growth hormone receptor signaling,pathway,participates_in
PTPN2,target,Negative regulation of MET activity,pathway,participates_in
PTPN2,target,Regulation of IFNG signaling,pathway,participates_in
PTPN2,target,Interleukin-37 signaling,pathway,participates_in
PTPN2,target,PKR-mediated signaling,pathway,participates_in
PTPRC,target,Phosphorylation of CD3 and TCR zeta chains,pathway,participates_in
PTPRC,target,Other semaphorin interactions,pathway,participates_in
PTPRC,target,Neutrophil degranulation,pathway,participates_in
RELA,target,Activation of NF-kappaB in B cells,pathway,participates_in
RELA,target,RIP-mediated NFkB activation via ZBP1,pathway,participates_in
RELA,target,Regulated proteolysis of p75NTR,pathway,participates_in
RELA,target,Downstream TCR signaling,pathway,participates_in
RELA,target,NF-kB is activated and signals survival,pathway,participates_in
RELA,target,Senescence-Associated Secretory Phenotype (SASP),pathway,participates_in
RELA,target,FCERI mediated NF-kB activation,pathway,participates_in
RELA,target,DEx/H-box helicases activate type I IFN and inflammatory cytokines production ,pathway,participates_in
RPS6KA3,target,ERK/MAPK targets,pathway,participates_in
RPS6KA3,target,CREB phosphorylation,pathway,participates_in
RPS6KA3,target,Senescence-Associated Secretory Phenotype (SASP),pathway,participates_in
RPS6KA3,target,Recycling pathway of L1,pathway,participates_in
RPS6KA3,target,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,pathway,participates_in
RPS6KA3,target,RSK activation,pathway,participates_in
RPS6KA3,target,Gastrin-CREB signalling pathway via PKC and MAPK,pathway,participates_in
SLC2A1,target,Cellular hexose transport,pathway,participates_in
SLC2A1,target,Vitamin C (ascorbate) metabolism,pathway,participates_in
SLC2A1,target,Regulation of insulin secretion,pathway,participates_in
SLC2A1,target,Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1),pathway,participates_in
SLC2A1,target,Lactose synthesis,pathway,participates_in
TDP1,target,Nonhomologous End-Joining (NHEJ),pathway,participates_in
TP53,target,Activation of NOXA and translocation to mitochondria,pathway,participates_in
TP53,target,Activation of PUMA and translocation to mitochondria,pathway,participates_in
TP53,target,Pre-NOTCH Transcription and Translation,pathway,participates_in
TP53,target,Oxidative Stress Induced Senescence,pathway,participates_in
TP53,target,Formation of Senescence-Associated Heterochromatin Foci (SAHF),pathway,participates_in
TP53,target,Oncogene Induced Senescence,pathway,participates_in
TP53,target,DNA Damage/Telomere Stress Induced Senescence,pathway,participates_in
TP53,target,SUMOylation of transcription factors,pathway,participates_in
TRPC5,target,TRP channels,pathway,participates_in
TRPC5,target,Role of second messengers in netrin-1 signaling,pathway,participates_in
TYR,target,Melanin biosynthesis,pathway,participates_in
TYR,target,Regulation of MITF-M-dependent genes involved in pigmentation,pathway,participates_in
