cell_state,target_overlap,odds_ratio,p_value,ucell_signature_score,source,fdr
BMSC/成骨祖细胞,0,0.0,0.2069491387493596,0.0,marker overlap only; replace with GEO/CELLxGENE matrix for expression statistics,0.5893623418077022
成骨细胞,0,0.0,0.3442456640654185,0.0,marker overlap only; replace with GEO/CELLxGENE matrix for expression statistics,0.5893623418077022
破骨细胞,0,0.0,0.5893623418077022,0.0,marker overlap only; replace with GEO/CELLxGENE matrix for expression statistics,0.5893623418077022
骨免疫细胞,0,0.0,0.5893623418077022,0.0,marker overlap only; replace with GEO/CELLxGENE matrix for expression statistics,0.5893623418077022
