target,open_targets_score,genetic_association,ensembl_id,note,source
AR,0.48935523253171564,0.0,ENSG00000169083,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability","Open Targets Platform association for MONDO_0005298; open_targets_score is a blended ranking heuristic, genetic_association is the genetics-only datatype"
DPP4,0.2697023872895011,0.0,ENSG00000197635,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability","Open Targets Platform association for MONDO_0005298; open_targets_score is a blended ranking heuristic, genetic_association is the genetics-only datatype"
HIF1A,0.08573418158526028,0.0,ENSG00000100644,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability","Open Targets Platform association for MONDO_0005298; open_targets_score is a blended ranking heuristic, genetic_association is the genetics-only datatype"
TP53,0.0852182899844695,0.0,ENSG00000141510,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability","Open Targets Platform association for MONDO_0005298; open_targets_score is a blended ranking heuristic, genetic_association is the genetics-only datatype"
FUNDC1,0.0794630421999956,0.0,ENSG00000069509,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability","Open Targets Platform association for MONDO_0005298; open_targets_score is a blended ranking heuristic, genetic_association is the genetics-only datatype"
RPS6KA3,0.07751289716700259,0.0,ENSG00000177189,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability","Open Targets Platform association for MONDO_0005298; open_targets_score is a blended ranking heuristic, genetic_association is the genetics-only datatype"
